loss,params,iteration,estimators,train_time
0.3096227740816371,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7902338921877842, 'learning_rate': 0.0032028317803340194, 'min_child_samples': 45, 'num_leaves': 350, 'reg_alpha': 0.7926928706035059, 'reg_lambda': 0.37338116932867904, 'subsample_for_bin': 200000, 'subsample': 0.8741493737407446, 'metric': 'auc', 'verbose': 1}",18,18,1.376404800000003
0.31468282721823326,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8180222684853117, 'learning_rate': 0.05163287686708457, 'min_child_samples': 45, 'num_leaves': 169, 'reg_alpha': 0.3479679339377224, 'reg_lambda': 0.7792709409751215, 'subsample_for_bin': 100000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",19,18,0.5404407999999989
0.30739301319632006,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6504807290176152, 'learning_rate': 0.011670688954795554, 'min_child_samples': 95, 'num_leaves': 187, 'reg_alpha': 0.8695100073452218, 'reg_lambda': 0.44076667329472063, 'subsample_for_bin': 160000, 'subsample': 0.9982343016628159, 'metric': 'auc', 'verbose': 1}",20,181,3.4931125000000023
0.30432558241661734,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6995090727399762, 'learning_rate': 0.002699310162364661, 'min_child_samples': 85, 'num_leaves': 46, 'reg_alpha': 0.78739503162987, 'reg_lambda': 0.5520827853417427, 'subsample_for_bin': 220000, 'subsample': 0.4168679681015798, 'metric': 'auc', 'verbose': 1}",21,375,2.180320200000004
0.3051401971762948,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.724506496822575, 'learning_rate': 0.0053315798882720205, 'min_child_samples': 25, 'num_leaves': 470, 'reg_alpha': 0.6723809780688558, 'reg_lambda': 0.6081367997024749, 'subsample_for_bin': 280000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",22,193,2.7112464000000003
0.3019322398612301,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7571211097630962, 'learning_rate': 0.0010383027566634505, 'min_child_samples': 75, 'num_leaves': 419, 'reg_alpha': 0.6397439367571703, 'reg_lambda': 0.20142700964417407, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",23,550,4.084869100000006
0.3039764618053269,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7221713215813718, 'learning_rate': 0.006228941633068257, 'min_child_samples': 35, 'num_leaves': 122, 'reg_alpha': 0.5226515250715804, 'reg_lambda': 0.20967873228616674, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",24,161,1.7728777000000022
0.3030125376018268,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.77906826817391, 'learning_rate': 0.001572506162111185, 'min_child_samples': 80, 'num_leaves': 493, 'reg_alpha': 0.3048442024436514, 'reg_lambda': 0.245857969720439, 'subsample_for_bin': 280000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",25,333,2.747626799999999
0.3109676569395955,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.8419883967642252, 'learning_rate': 0.004652115509059347, 'min_child_samples': 30, 'num_leaves': 400, 'reg_alpha': 0.6870373501504098, 'reg_lambda': 0.6003873347904072, 'subsample_for_bin': 40000, 'subsample': 0.9842583509449772, 'metric': 'auc', 'verbose': 1}",26,127,2.2606123999999994
0.30019322398612314,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6350949574200611, 'learning_rate': 0.001912584530969102, 'min_child_samples': 70, 'num_leaves': 258, 'reg_alpha': 0.9995715437543311, 'reg_lambda': 0.813899086477873, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",27,324,2.4510303999999934
0.308613837472279,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.634234116869625, 'learning_rate': 0.0018680613832293593, 'min_child_samples': 95, 'num_leaves': 134, 'reg_alpha': 0.9694298981138525, 'reg_lambda': 0.9923979031053334, 'subsample_for_bin': 180000, 'subsample': 0.44713337789929497, 'metric': 'auc', 'verbose': 1}",28,191,3.518753099999998
0.3002678787080342,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6785087103307679, 'learning_rate': 0.0010415397064884263, 'min_child_samples': 70, 'num_leaves': 248, 'reg_alpha': 0.7374861044398838, 'reg_lambda': 0.8496832839261844, 'subsample_for_bin': 280000, 'subsample': 0.5329438945194148, 'metric': 'auc', 'verbose': 1}",29,338,2.344382699999997
0.3032760248556309,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.635482199585595, 'learning_rate': 0.02099434665920688, 'min_child_samples': 70, 'num_leaves': 249, 'reg_alpha': 0.9472248809458379, 'reg_lambda': 0.8850078082121546, 'subsample_for_bin': 60000, 'subsample': 1.0, 'metric': 'auc', 'verbose': 1}",30,20,0.5089352000000105
